Names	total	elements
		GRIN2A
		FAM230C
		SLC37A1
		PHYH
		PIANP
		LIN7B
		NKX2-1
		SLC35A1
		NR1D1 /// THRA
		SLC30A2
		SCGB1D2
		GNGT1
		GAS5 /// SNORD44 /// SNORD47 /// SNORD74 /// SNORD76 /// SNORD77 /// SNORD79 /// SNORD80 /// SNORD81
		CHDC2
		KLHL23 /// PHOSPHO2 /// PHOSPHO2-KLHL23
		CBX2
		LOC102724511
		SLIT1
		TP53I3
		ADAD1
		GPBP1
		UCP2
		ATG4A
		SLCO1C1
		FMNL1
		LOC100506790
		LOC101928739
		KIR2DS5
		CABP7
		AC004692.5
		KRT86 /// LOC100509764
		IGHMBP2
		MKRN4P /// MKRN4P
		SPRY4-IT1
		CCSER2
		CCL11
		CST4
		LOC101928589 /// TMEM164
		RBM4B
		HOXD8
		MDC1
		NKAIN1
		HIST1H2BG /// HIST1H2BJ
		ZDHHC1
		BPIFB1
		HTR4
		PRR30
		CNTD1
		CBX4
		SH3BP2
		ZSCAN12P1
		LOC100996255
		GPR97
		WDFY3
		HIC1
		mir-223
		THUMPD3
		TACC1
		OLFM4
		LOC285500
		PTBP3
		LOC219690
		BIVM
		GALR3
		SLC25A4
		DUX1 /// DUX3 /// DUX5
		RP11-560A15.4
		OR2H2
		LRFN1
		RP11-53O19.3
		UGT2A1 /// UGT2A2
		RASA2
		RP11-631N16.2
		TPSB2
		PSD4
		TNP2
		ITPKB
		LINC01242
		TMC5
		SCT
		AKAP3
		UBL5
		TMEM251
		CDR1
		MSANTD3-TMEFF1 /// TMEFF1
		PVALB
		LOC101927166
		COMP
		RBBP7
		LOC100289061
		HPDL
		MKL2
		FLJ11710
		GPER1
		RAD50
		LOC102724788 /// PRODH
		RP11-259G18.1
		SSR2
		SOX14
		GRPR
		SYT11
		PDZD2
		KLHL31
		LOC101929084
		PTH
		GUSBP11
		LRSAM1
		ZNF688
		MKRN7P
		PLXNB2
		P2RX1
		DNAH10
		HBM
		EN2
		TRAV12-2
		TNIP1
		FSIP2
		PSKH1
		HEY1
		RP11-49K24.4
		CCDC96
		BC069004
		SLAMF7
		CDC37
		CEBPA-AS1
		SOX1
		CFC1 /// CFC1B
		FGF10
		LOC101927815
		TBC1D22A
		MIR7515 /// MIR7515HG
		STK32B
		PLG
		CRIP1
		UBE2A
		POU5F1P4
		RNF139
		RP11-803D5.4
		LOC101929787
		EMR3
		CHP1
		LRCH1
		LOC340074
		C3orf58
		DDX11-AS1
		LOC101927702
		PRDM5
		RP1-228H13.5
		LPP-AS2
		LURAP1L
		GGTLC1
		DAGLA
		LOC284242
		TTTY13
		SOHLH1
		MPHOSPH9
		HCN4
		LINC00176
		LOC100131510
		CD8B
		TGM4
		MAGEA11
		STRA13
		RP11-498C9.15
		HIST1H4H
		ZNF37BP
		HRC
		STAM2
		PTPMT1
		STAMBPL1
		HOOK1
		TCF20
		LOC100134937
		FAM178B
		RPL7A /// SNORD24 /// SNORD36A /// SNORD36B
		NFYB
		FAM95A
		RNMT
		MTCP1
		ASTN1
		MICAL1
		SWI5
		CAV2
		PREX1
		OVOL1
		DDO
		CXCR6
		C17orf78
		NLRP12
		PKP3
		SFMBT1
		TYW1
		LOC102724275
		TTC9B
		CD101
		C6orf226
		DCN
		BC063675 /// CTD-3138B18.5
		HLA-C
		NXF5
		DENND6B
		LOC102724938
		DNAJB14
		LOC101060604 /// SLC7A5P1 /// SMG1P3
		XKR4
		KIAA1432
		AC003973.4
		GS1-124K5.11
		LOC102724537
		TRAM1L1
		SERPINA5
		FDPSP5 /// FDPSP5
		KLK3
		AMHR2
		SI
		ARSJ
		TMEM110
		PARD6B
		HIST2H2BE
		OR2F1 /// OR2F2
		THAP9
		GPR123
		UGT2B28
		RNPEPL1
		PSD3
		ABCA13
		DYNLL1-AS1
		RDM1
		RP11-474D1.2
		FAM174B
		RAP1GDS1
		C19orf80
		RPTOR
		CES1 /// LOC100653057
		LOC102725198 /// RASA4 /// RASA4B /// RASA4CP
		LRP3
		SOX7
		CHRNE
		RP11-338I21.1
		TAF4B
		CTD-2520I13.1
		SPATA31C2
		MALT1
		NUBP2
		MIR1236 /// NELFE
		RTP3
		ENPP4
		C14orf23
		COL20A1
		DGCR9
		LOC102725382
		CLRN1
		LINC00355
		SH2D1A
		TTTY15
		IRF9 /// RNF31
		RP4-614O4.12
		RGS16
		URB1
		DIP2C
		LAMP1
		RPS10L
		MAP3K5
		NOS1
		AK024242 /// RP11-758M4.4
		ACACA
		SLC18A3
		DBET /// DUX4 /// DUX4L1 /// DUX4L2 /// DUX4L24 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8 /// LOC100288289 /// LOC100291626 /// LOC652301
		LNPEP
		RHD
		SLC16A7
		CACNB3
		THAP11
		LOC101927783
		ELOVL1 /// MIR6734
		TMEM30B
		MINK1
		EZH2
		LOC286437
		FAM89B
		FAS
		RP11-17A4.3
		LOC101929842 /// PGA3 /// PGA4 /// PGA5
		PI4KA
		VWA8
		LINC00925
		SYNC
		PHC3
		EGLN2 /// RAB4B /// RAB4B-EGLN2
		EXO5
		PIBF1
		LINC00708
		PPP6R1
		SLCO3A1
		NCF2
		SECISBP2
		HDGFL1
		RIPPLY3
		RNF145
		TRIM39 /// TRIM39-RPP21
		LOC101927157 /// NIPAL1
		MIR1909 /// REXO1
		CS
		MIR1244-3
		PRDX1
		ZNF641
		PRRG4
		LOC101927849
		ALOX15
		LOC100506314
		MASTL
		MYO16
		CCL17
		RP11-300A12.2
		DLG3
		CC2D1A
		KRTAP2-3 /// KRTAP2-4
		FAM21EP /// FAM21FP
		NR2E1
		RP11-218I7.2
		PCLO
		ANXA9
		ABCD2
		SCUBE1
		SLC32A1
		HUWE1
		MRPS18A
		BC113958
		LOC100996542
		LOC101928101
		STUB1
		DGCR6 /// DGCR6L
		RP11-196G18.24
		LINC00669
		RP1-86D1.3
		GPR126
		KLHDC8B
		LOC100505841
		SMARCA5
		CWF19L1
		PLA2G4A
		IQCF4
		VEGFC
		INVS
		PCDHA9
		LGALS3BP
		RRAGA
		RHAG
		BC017209
		NT5DC4
		SLC25A29
		LINC01142
		CA5BP1
		GID4
		NKX2-1-AS1
		UBA3
		ZNF296
		VPS11
		P2RX5-TAX1BP3 /// TAX1BP3
		FBXO5
		IER5L
		CTA-246H3.12
		CCDC39 /// LOC101928882
		ARHGEF7-IT1
		SENP3 /// SENP3-EIF4A1
		LAMTOR5-AS1
		LINC00561
		PARD3-AS1
		LINC01314
		ARHGEF18
		SCAMP5
		GNAS-AS1
		OR7C1
		SMEK1
		PPIB
		PCGF2
		OGFRP1
		BTF3P13 /// BTF3P13
		VDAC3
		CASP7
		LOC101929441
		TRAPPC2 /// TRAPPC2P1
		FCHSD2
		GNL1
		ZNRF2
		NSUN5P1
		CACNA1F
		PPP1R12C
		PBOV1
		CATX-1
		GREM1
		UTP23
		BRINP1
		HIAT1
		HOXA7
		RP11-742B18.1
		LOC284023
		BC089413 /// IGLVI-70 /// IGLVI-70
		JHDM1D-AS1
		RAP2B
		GABPA
		ASGR1
		IL6
		ZNF260
		IFNA16
		SRSF8
		SPRED3
		LINC00870
		KLHL32
		ZC3H18
		PNLIPRP2
		ZMYM3
		CTB-25B13.12
		YWHAB
		SLC7A2
		MRPL43
		NPY5R
		GLYATL1
		DNAJC14
		UBE2NL
		ABCG2
		TUBA4A
		AC005838.2
		HNF1A
		CHCHD3
		LOC441155 /// ZC3H11A
		C19orf66
		ZNF174
		CCR8
		WDR11
		TMEM65
		RP11-333O1.1
		CRYGD
		RP11-5N11.2
		NHP2P2 /// NHP2P2
		LINC00528
		HAUS7 /// TREX2
		ID4
		SFT2D3
		TAS2R45
		MCOLN1
		LOC101929078
		SEPSECS
		ZNF29P
		HNRNPF
		GJA3
		TUBA8
		AL928742.12
		ENPP5
		TFDP1
		ZSCAN2
		SLITRK5
		DKFZP434L187 /// DKFZP434L187
		SLC6A5
		FGF14-IT1
		TPGS2
		ZKSCAN8
		CYP2C18
		LINC00582
		DHX57
		ST20
		HCG4B
		HTATIP2
		POM121L1P /// POM121L8P /// POM121L9P
		RBM11
		HNF4A-AS1
		GLTSCR1L
		KLHL12
		LINC01215
		LOC646522
		IGH /// IGHA1 /// IGHD /// IGHG1 /// IGHG3 /// IGHM /// IGHV3-23 /// IGHV4-31
		RBM22
		SAA2-SAA4 /// SAA4
		TRIM38
		TMCC1
		LOC101928100
		POLR1D
		SPNS3
		GPN1
		CTDSP1
		TMEM116
		RASD1
		LOC100289473
		IL21R-AS1
		SLC41A2
		TNFRSF11A
		AMACR /// C1QTNF3-AMACR
		TRAC
		IBTK
		ZNF280B
		DZIP3
		NFATC2IP
		LOC101928082 /// SH2D6
		CLEC12A
		BCDIN3D
		LOC101929597 /// TBCD
		NBPF10 /// NBPF14 /// NBPF26
		SLC39A3
		LOC100507472 /// PCSK6
		NEUROG1
		LOC102723847
		CPSF3L /// MIR6727
		LA16c-83F12.6
		DENND1C
		LRRC37A16P /// LRRC37A16P
		LOC100129884
		TMEM242
		VN1R10P
		CIB1
		RUNX1-IT1
		TSSK1B
		HAAO
		SLC35A3
		PEMT
		MYO1F
		RP11-255C15.4
		FLOT1
		RP11-309G3.3
		MMP25
		SLC35E3
		SHARPIN
		LOC388210 /// LOC400499
		AC002059.10
		MEF2BNB
		TSR1
		RAP2C-AS1
		AURKC
		TCP11L2
		C8orf66
		CKAP5
		RAB9BP1
		QRSL1
		SNORD114-3
		COL6A1
		LOC101927552
		DIS3L
		RASL11A
		SAMD9
		TDO2
		BOLA1
		COL5A1
		DERL1
		FBXL18
		MOAP1
		DOCK3
		NR1I2
		DLAT
		OCR1
		CRIP3
		TATDN1
		KPNB1
		C10orf82
		PRICKLE1
		RP11-18I14.11
		C10orf54
		WNK1
		LOC102725408
		RELN
		SPRYD3
		DPAGT1
		ERN1
		EOGT
		NF2
		LOC100507480
		KRBOX4
		LOC101927126
		POLR3D
		DQ573539 /// SNX18P3 /// SNX18P3
		RP11-673E11.2
		NDFIP1
		USP44
		SLC22A9
		PNPO
		LOC100652768
		TTC38
		LOC101929857 /// SLX1A-SULT1A3 /// SLX1B-SULT1A4 /// SULT1A3 /// SULT1A4
		URM1
		ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B
		STARD7-AS1
		RP11-248J18.3
		RBL1
		HCG8 /// ZNRD1-AS1
		C6
		SMAD5
		LOC441601
		UBE2J2
		RAB7A
		CBR1
		ZNHIT6
		SRY
		RXRB
		RP11-505K9.4
		RP5-968J1.1
		PRSS33
		ZNF205-AS1
		ITPK1
		GZMM
		LYG1
		LOC254057
		LOC441179
		GOT1
		SPN
		RP4-730D4.1
		LINC01181
		UGT1A1
		LBX1
		AC008746.12
		OXT
		CCDC64
		IRX5
		SAAL1
		CACTIN
		RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C
		AC006129.2
		COL9A2
		CCDC153
		SEC14L5
		KPNA2
		IGH
		LOC283914
		ZCRB1
		HTR7
		IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31
		PLEKHO1
		LOC145678
		GLE1
		SERPINB9
		AVPR1B
		MSMB
		DMTN
		GSG2
		LOC101927620
		KLRC1 /// KLRC2
		RP11-82L18.2
		LOC101927058
		SIPA1
		GLTSCR2
		ASIP
		NIPBL
		C2orf57
		FYB
		ZNF24
		ZNF334
		BAMBI
		GPR19
		NBPF8
		PHLDA1
		TUBB2A /// TUBB2B
		MIOX
		ZNF395
		ABI2
		MSH5 /// MSH5-SAPCD1 /// SAPCD1
		BC045788
		HES7
		LSM12
		NACAD
		FSCB
		C20orf78
		WDR20
		HMGB3P1
		MUC3A /// MUC3B
		PNOC
		STK40
		FLJ20518
		RP3-522P13.2
		RP11-247L20.4
		CDY1
		LOC102724200 /// TRAPPC10
		DNAAF1
		IGLV1-44
		PXMP2
		LACTB2
		ALPP
		CHRNA2
		PHACTR1
		ALYREF
		LOC101930608 /// LOC102723581
		KRT6A /// KRT6B /// KRT6C
		MIR101-1 /// MIR3671
		GNAO1
		LOC100862671 /// SRCAP
		TCRA /// TRAV8-6 /// TRAV8-6
		RP5-894A10.6
		TMEM212
		DEF8
		ADRB1
		DGCR14 /// TSSK2
		SIRT2
		NFRKB
		LOC100506858
		LOC401320
		TIMM17A
		BFSP2
		BMP8A
		LOC100506289
		SEC13
		OR6W1P
		AKR1C4
		LOC101928378
		AC091633.3
		ZNF827
		KRT8
		LOC101929454
		FBN3
		LOC100129550
		SLC25A34
		LOC221272
		TMEM185B
		CHN2
		CD200
		LOC652993
		KRT83
		ZNF468
		ALPP /// ALPPL2
		HNF4G
		MSR1
		RS1
		SPAG11A
		SURF4
		GLOD4
		NKAPP1
		LOC102724312
		TEX10
		IRS2
		KCNAB1
		FAM21A /// FAM21C /// LOC101930591
		MRPL51 /// SPTLC1
		EPHB3
		HIPK3
		RRH
		FCRLB
		ABRACL
		TMPRSS11D
		ZNF780B
		RP11-379F4.6
		ATP6V1E1
		C3orf70
		ORC5
		S100A16
		CCDC23
		ABCA12
		KIF25-AS1
		KNOP1
		LOC101929116
		GYG2
		PRR20A /// PRR20B /// PRR20C /// PRR20D /// PRR20E
		LOC102724441 /// LOC102724951 /// LOC389831
		IBSP
		AGA
		C3orf62 /// MIR4271
		OR1E1 /// OR1E2
		CYMP
		DLL4
		CNN2P10 /// CNN2P10
		METAP1
		EPCAM
		APOF
		SPAST
		RP11-805I24.3
		AGPAT6
		FKBP8
		COX6A1
		WDR45B
		CDH3
		PRSS3P2
		SHC2
		BLNK
		VAC14
		COL5A3
		SOGA1
		CTD-2611O12.6
		OR7E2P
		ME2
		MC4R
		CALML5
		ZNF835
		ALOXE3
		IL20
		AAR2
		GATA3
		SASH1
		LOC101060363 /// PPIA
		CMSS1
		NAT8B
		GTPBP10 /// LOC101927446
		RP11-1012E15.1
		CFLAR /// LOC102724614
		TLN2
		NGEF
		STK36
		KLHL1
		CTNNBIP1
		OR51B4
		CTRC
		SBF1
		RCHY1
		LINC00290
		DHX8
		CT55
		NKAIN4
		DNM3OS
		THBS4
		ZNF268
		ZNF706
		FCHO1
		TCRAVN1 /// TRAV25 /// TRAV25
		HOXD10
		GS1-600G8.3
		AK025288
		LCN10
		RP11-217B7.2
		C9orf172
		NAPSA
		WDR87
		LINC00858
		ZNF408
		WDR53
		SLC25A11
		KCTD11
		RP11-680F8.4
		WNT11
		CHRNB3
		RP11-389C8.3
		TUBA1C
		LOC100130741
		RP11-123K19.2
		NOP14
		GS1-304P7.2
		RP11-435O5.5
		LOC100130872
		OR2F1
		NSMCE1
		FBXW7
		NDST2 /// ZSWIM8-AS1
		NTNG1
		AL831948 /// RP1-197B17.3
		CLIP4
		PKIA
		LINC00339
		HGC6.3
		DDX59
		KLF13 /// LOC100499221
		SP3
		TNFRSF13B
		PET117
		BTNL2
		RAPGEF2
		SPAG1
		FLJ38668
		EXOSC4
		RP11-320N7.2
		EME1
		RP11-680G24.5
		GTPBP6
		MAP3K7
		EPHA5-AS1
		C16orf80
		ICE2
		RBMS3-AS3
		SFTA1P
		SPATA31D1 /// SPATA31D3 /// SPATA31D4
