Names	total	elements
		UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9
		CLTA
		USP32P2
		KCNA1
		RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A
		ZNF529
		IGH /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV3-23 /// IGHV4-31
		PLEKHO1
		LOC145678
		GSG2
		AIRE
		C3
		LOC101928449
		PCBP4
		SLC22A6
		FAM213B
		HLA-DRA
		RBM26-AS1
		NIPBL
		RAD18
		ZNF334
		MT3
		ABI2
		EZR
		LSM12
		GDAP1L1
		CRP
		RARB
		CCDC18
		HIST1H1A
		FLJ20518
		MYH13
		SDHAP1 /// SDHAP2
		PXMP2
		CHRNA2
		VAMP4
		DGKD
		PLXNB3
		IFNA5 /// IFNA6
		MIR101-1 /// MIR3671
		LIPI
		TCRA /// TRAV8-6 /// TRAV8-6
		PROX1
		CAPN6
		TMEM212
		C6orf58
		MRPS28
		LOC102724927
		BFSP2
		PCBP1
		LOC100506289
		MAGEC1
		LOC101927839
		VSIG1
		AQP8
		AKR1C4
		LINC00629
		BRINP3
		THY1
		LOC101929454
		EPS15
		LOC101927592
		TRPA1
		TMEM185B
		IGLJ3 /// IGLV3-19 /// IGLV3-19
		LINC01233
		CCNK
		BAG3
		ZNF468
		CTSK
		HNF4G
		MSR1
		RS1
		SURF4
		SPSB2
		IRS2
		FAM21A /// FAM21C /// LOC101930591
		MRPL51 /// SPTLC1
		EPHB3
		SPRYD7
		FCRLB
		SLC31A2
		LINC00382
		TMEM5
		LOC101930602 /// SLC14A2
		NLGN3
		LFNG
		BOLA2 /// BOLA2B
		SET /// SETP4 /// SETSIP
		FUT8
		COL8A1
		OR1E1 /// OR1E2
		MRFAP1
		POGLUT1
		SPAST
		CCDC167
		WDR45B
		PRSS3P2
		FOXD2
		PAGE1
		SIRT7
		RABIF
		PPIL3
		CDRT1
		NOL4
		EIF2B4
		RP11-884K10.7
		PIGH
		GTPBP10 /// LOC101927446
		PCOLCE-AS1
		KLHL1
		MPHOSPH10
		ATP9A
		POSTN
		RCHY1
		ZNF691
		SPI1
