Names	total	elements
		MIR2114
		AGBL1
		FLJ30719
		GPR124
		C13orf33
		OTUB2
		SPIC
		OR52N1
		FGF22
		ZFP1
		IL1RAPL1
		CEMP1
		C15orf17
		C6orf170
		KIF1B
		GNGT1
		PSRC1
		CLCNKB
		PPP4R1
		CNOT2
		GPR110
		TRIM47
		TRIM6
		KRTAP13-2
		EFR3B
		MIR152
		PES1
		AVL9
		RFK
		FER1L6
		SMOC2
		KCNH1
		ARHGDIB
		STK24
		PARVG
		NEU2
		SNORD95
		FAM73B
		AP1S3
		ASB4
		PAM
		CD1B
		FLJ25037
		C2orf52
		FLJ14082
		GALIG
		ANKRD18B
		C21orf87
		EIF4E
		SIGLEC15
		FLJ34870
		CDC2L1
		BATF2
		SLC10A1
		CSNK1E
		SRP14
		PPP1R2P9
		FAHD2B
		ESAM
		NARG1L
		BLMH
		DUPD1
		CGI-96
		AGRN
		FAM171B
		KRTCAP3
		GPSM1
		IAPP
		RAET1L
		TUBB4
		DSCR5
		MDM2
		C11orf66
		THSD7A
		NDST3
		LHX4
		GCNT6
		MRPL13
		FMO6P
		ACOT11
		MSRB2
		TWISTNB
		TIGD4
		HOXC4
		UGT1A7
		UPB1
		SERPINA11
		MRPL14
		SRRM5
		RGS11
		HRES1
		SLC22A13
		GOLGA2LY2
		C12orf67
		KLF5
		PVALB
		FAM90A8
		NRG3
		PTPRG
		PLEKHG5
		C14orf93
		LRRC26
		MGC72104
		C21orf93
		ELMO1
		TAF11
		CABIN1
		HIST1H2AC
		CRSP9
		FLJ30851
		HIST1H3C
		KBTBD10
		FBXO47
		SOX14
		CDAN1
		SYT11
		OIT3
		MCC
		IFT88
		KLHL31
		RNF111
		PRAMEF6
		ATXN1L
		ZNF160
		ZNF688
		ERCC-00171
		PWP1
		PTPN6
		SF4
		CACNB2
		MIR2276
		RHOQ
		GPAM
		C6orf66
		CCDC96
		VSTM2A
		GRK4
		BRE
		ZNF474
		MIR1226
		OR2B3P
		IRGC
		C19orf35
		PEG3
		ZNF263
		PLG
		KIAA0888
		CRIP1
		TP53TG1
		FBLN7
		UBE2CBP
		BRMS1L
		FBXL16
		TMEM16C
		RGS12
		RNF190
		NUDT13
		LRRIQ1
		DAK
		DKFZp434I1020
		PPP4R2
		SUGT1L1
		MIR644
		DAGLA
		CHCHD6
		GJC1
		TMEM133
		C4orf34
		SLC46A3
		STAMBP
		TMEM50A
		CCDC16
		SNX8
		TAAR1
		RND2
		SNORD96B
		AIFM3
		DUS1L
		KRT33A
		CSAG3A
		SLC25A45
		MARCO
		UPF3B
		TUBGCP5
		MGC12760
		C22orf15
		TIGD3
		SPG3A
		PDCD1LG2
		CALD1
		NSMAF
		HMGCS1
		POLR3F
		ZNF570
		TLE4
		PKP3
		DHRS1
		C10orf113
		C20orf43
		C4BPA
		JPH1
		AGBL2
		UCP3
		KRTAP22-1
		PLA2G12A
		N4BP2L1
		CX3CR1
		FAM90A2P
		LIN7C
		C2orf88
		C14orf2
		RABL5
		C3orf55
		SLC26A7
		KIAA1432
		LBH
		DEPDC4
		MAP2K3
		SCAP
		OMG
		ADAMTSL1
		AP2A2
		ZNF214
		TRAM1L1
		DTNA
		IL1R1
		CTTN
		KIR2DL5A
		RELL2
		MAB21L1
		PHKB
		CCT6A
		C22orf43
		KCNS3
		FLJ12688
		HIST2H2BE
		RPP38
		SNORD108
		KLRB1
		PSD3
		NLRC3
		ISCA2
		AXUD1
		NSUN4
		HECW1
		HMGB1
		LBR
		CLCA3
		DARS2
		CDC25A
		FAM90A3
		ATOX1
		KIF26B
		GPHN
		ELP4
		OR2S2
		MALT1
		TM9SF1
		ZNF85
		TFDP2
		FAM109A
		C16orf7
		FOXQ1
		C14orf23
		KCNIP3
		MGC15705
		NGRN
		MOBKL1B
		TMEM60
		SCARNA10
		SNIP1
		CLDN11
		C6orf192
		ABHD4
		NFATC1
		RPS23
		SSX2
		FBXO27
		YOD1
		APCDD1L
		MRVI1
		PLP2
		MRPL19
		RBM33
		MIR377
		MEIS3P1
		CNTN4
		FLYWCH1
		DOCK8
		CEACAM20
		C9orf27
		ZNF154
		TMEM84
		BTBD17
		HBEGF
		PRTFDC1
		POU2AF1
		CYP21A2
		LRRC58
		CKB
		RASD2
		C6orf191
		ERCC-00145
		HNRPA1L-2
		FZD2
		PARVA
		PSMB6
		PHC3
		ANAPC13
		MIR320A
		PAG1
		FAM55A
		USP16
		SYN1
		LETM1
		APBB1
		PIB5PA
		OR4C16
		VSNL1
		C3orf47
		PIH1D1
		RAET1G
		C7orf42
		ARHGAP4
		COX17
		C16orf33
		TMCC2
		HAL
		ARL4C
		EMG1
		PRRG4
		ARMC8
		FLJ40606
		NUPR1
		SMCR5
		TRPC7
		C10orf31
		FADS2
		GPR64
		AHCY
		EGR1
		FAM197Y2
		OTX1
		STON2
		PTGFR
		CST9
		MFRP
		LLGL1
		DYRK2
		C3orf48
		PLAC2
		BHLHE22
		SNORD114-4
		ACCS
		C21orf74
		VENTXP7
		UBR5
		PGLYRP2
		STUB1
		CRYBA2
		CTPS
		PITX2
		CDC42SE1
		SIM1
		DPM3
		TSPYL2
		GPR126
		CDH18
		NCCRP1
		MPV17L2
		C19orf42
		HIST1H2BB
		ANO2
		CST9L
		ARHGEF3
		CSNK1G2
		KIAA1244
		C6orf190
		HSPA6
		NT5DC4
		SNORA53
		CAPG
		ARSB
		TSSK3
		TPH1
		TMUB2
		NEK1
		PABPC1L2A
		GCET2
		UNQ6975
		EMX2OS
		TMEM214
		P2RY2
		CHP
		IER5L
		DGKB
		MIR450A1
		HK1
		CDC26
		POMGNT1
		MADD
		RUNDC3B
		EREG
		IFNA5
		C14orf166
		MAGEA5
		SMPX
		VMAC
		PTX3
		CAMK1G
		MIR128-1
		WFDC13
		MGC46336
		VCX
		FCHSD2
		DKC1
		SYT14L
		HERC2P4
		GCHFR
		UBD
		MIR1323
		SHC3
		UROS
		SIRPD
		SOAT1
		ARHGAP23
		KRT6A
		SEH1L
		SIGMAR1
		ZSCAN1
		HEBP2
		FGF14
		KIF3B
		KRBA2
		ZNF335
		SNX7
		C3orf27
		HEATR1
		PSME1
		PMCHL2
		TOR1B
		EPOR
		PSTPIP2
		DNAH2
		UBASH3A
		CLK1
		PODNL1
		TAS2R16
		KIAA1737
		PHRF1
		LIPM
		PCDHB7
		SERGEF
		C6orf204
		OSCAR
		NPFF
		TSPAN15
		PGK2
		ERVK6
		B3GNT8
		LHCGR
		TPRG1
		CCR1
		FLJ39653
		RANBP3L
		ATP5L
		C8orf47
		IGSF10
		MIR655
		C10orf57
		B3GALNT1
		TIMM9
		GAGE12B
		IFI6
		ZNF491
		DNASE2
		ANAPC2
		NUBPL
		AKAP1
		ST7OT4
		CD5L
		POLR2K
		AADACL3
		HOXC12
		ZSCAN2
		SEC24C
		GTF2A1L
		HSPA9
		RPS15A
		TAF1
		GINS4
		RBM42
		MT4
		IRGM
		CKLF
		TSR2
		GRIK5
		DHX57
		C12orf37
		IQGAP1
		PLAG1
		MYCBP2
		OTOS
		RETN
		MIR616
		SLC6A19
		DCTPP1
		FLJ42102
		PDZD8
		SNORD114-11
		ULBP2
		RRM2
		OS9
		WDR72
		ALDH1A1
		GNPDA2
		C8orf40
		SPANXF1
		C7orf4
		MIR509-3
		OR9Q1
		ELOF1
		TMEM109
		ANK1
		RPL18
		SMU1
		CCT6P1
		CASZ1
		FAM75A2
		NCRNA00087
		C9orf38
		MXD3
		RABEP1
		FLJ37786
		TBX19
		SDHAP3
