Names	total	elements
		HLA-DOB
		C22orf15
		SPG3A
		PDCD1LG2
		APBA3
		IL9
		POLR3F
		ZNF570
		DHRS1
		C20orf43
		UPF2
		C4BPA
		AGBL2
		ACTBL2
		N4BP2L1
		PIP5K2B
		CX3CR1
		LIN7C
		SNORD79
		C14orf2
		RABL5
		EMR4
		SERPINA3
		MAGEB10
		MIR718
		SNORA73B
		MCPH1
		BMS1P5
		HIST1H3J
		KIAA1432
		CLEC9A
		LBH
		SAMD4B
		MAP2K3
		SCAP
		NARS
		ADAMTSL1
		FKBP6
		ZNF214
		ODF4
		TRAM1L1
		PAX5
		AOX1
		LY96
		IL1R1
		GEMIN5
		HRSP12
		KIR2DL5A
		PHKB
		CCT6A
		FLJ12688
		GKN2
		UQCRH
		SNORD108
		PSD3
		NLRC3
		AXUD1
		NSUN4
		HECW1
		DARS2
		CDC25A
		PTGER3
		FAM90A3
		KIF26B
		MGC45922
		ELP4
		MALT1
		C5orf33
		FBXO16
		TM9SF1
		ZBED3
		TFDP2
		B3GALT3
		FOXQ1
		NBPF5
		C14orf23
		IRF1
		C4orf44
		TRPM8
		KCNIP3
		MGC15705
		KCNT1
		NGRN
		CRY2
		TMEM60
		SCARNA10
		C6orf130
		C6orf192
		ERCC-00109
		RPS23
		SHISA3
		MRVI1
		ZNF581
		MRPL19
		RBM33
		MEIS3P1
		TBC1D5
		DOCK8
		MUC16
		CEACAM20
		C9orf27
		DBX2
		C6orf191
		ERCC-00145
		HNRPA1L-2
		FZD2
		PARVA
		MAP3K14
		PHC3
		FAM102B
		CCNI2
		MT1P2
		ANAPC13
		SH3GLB1
		FAM55A
		DEM1
		SYN1
		OR4C16
		RAET1G
		COX17
		CCDC83
		C16orf33
		ERMP1
		OVGP1
		TCF12
		ARL4C
		ZNF641
		LASS6
		ARMC8
		VPS36
		NUPR1
		SMCR5
		TP53INP2
		GLB1L
		C10orf31
		CRHR2
		FADS2
		PRO1768
		ALDH1A2
		FLJ35801
		AHCY
		EGR1
		OTX1
		STON2
		PTGFR
		SSR3
		MFRP
		LLGL1
		ZNF778
		DNAJC7
		C3orf48
		BHLHE22
		SNORD114-4
		CPA2
		ACCS
		SV2B
		ABCA8
		CDKN2D
		UBR5
		PRPF4B
		PGLYRP2
		STUB1
		LEF1
		MGC3032
		SEC14L3
		PITX2
		FABP3
		CDC42SE1
		SIM1
		DPM3
		TSPYL2
		COL6A2
		GPR126
		PATE2
		CDH18
		RAPGEF1
		KRTAP19-7
		FA2H
		PLEKHG3
		PRLH
		SRBD1
		HIST1H2BB
		MOBKL3
		RFX1
		CST9L
		MIR875
		HLA-DMB
		ARHGEF3
		KIAA1244
		C6orf190
		HSPA6
		SNORA53
		CD226
		CAPG
		DPYSL5
		TNK2
		DENND4A
		GCET2
		STX7
		CIDEA
		P2RY2
		CHP
		IER5L
		MIR450A1
		RNF187
		CDC26
		UACA
		SETD5
		OR2T2
		DNAJC25-GNG10
		CENPBD1
		WDR42A
		TINAG
		C11orf55
		TCTEX1D2
		SNORD44
		IFNA5
		C14orf166
		UGT1A4
		C10orf95
		PTX3
		CAMK1G
		C4orf33
		LYPLA2
		C19orf56
		VCX
